"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8169,5.9086e-06,0.00060662,1672.2,0,8.1252e-06,15693,23.028,0.0089695,1.3806e-13,3.3929e-16,6.5719e-18,-2.388e-16,2.2053e-14,4.3754e-14,0,0,0,0,0.98843,1.1443,5.2976,61.359,0.064135,0,0,1,0.027352,0.027352,0,0
1.8153,5.9202e-06,0.00064074,1671.1,0,8.1375e-06,15851,23.76,0.0092544,1.9515e-13,3.3711e-16,9.3337e-18,-2.159e-16,2.1757e-14,4.3423e-14,0,0,0,0,0.98677,1.2067,5.6735,61.166,0.066813,0,0,1,0.027773,0.027773,0,0
1.8138,5.9318e-06,0.00067485,1670,0,8.1499e-06,16008,24.491,0.0095393,2.5225e-13,3.3493e-16,1.2095e-17,-1.9301e-16,2.1461e-14,4.3092e-14,0,0,0,0,0.9851,1.269,6.0494,60.973,0.06949,0,0,1,0.028194,0.028194,0,0
1.8122,5.9434e-06,0.00070897,1668.9,0,8.1622e-06,16166,25.223,0.0098242,3.0934e-13,3.3275e-16,1.4857e-17,-1.7011e-16,2.1165e-14,4.2761e-14,0,0,0,0,0.98344,1.3313,6.4253,60.78,0.072168,0,0,1,0.028614,0.028614,0,0
1.8107,5.955e-06,0.00074308,1667.8,0,8.1745e-06,16324,25.954,0.010109,3.6644e-13,3.3057e-16,1.7619e-17,-1.4722e-16,2.0869e-14,4.243e-14,0,0,0,0,0.98177,1.3937,6.8012,60.587,0.074845,0,0,1,0.029035,0.029035,0,0
1.8091,5.9666e-06,0.00077719,1666.7,0,8.1869e-06,16482,26.686,0.010394,4.2354e-13,3.2839e-16,2.0381e-17,-1.2432e-16,2.0573e-14,4.2098e-14,0,0,0,0,0.98011,1.456,7.177,60.393,0.077523,0,0,1,0.029456,0.029456,0,0
1.8075,5.9782e-06,0.00081131,1665.5,0,8.1992e-06,16640,27.417,0.010679,4.8063e-13,3.2621e-16,2.3142e-17,-1.0143e-16,2.0277e-14,4.1767e-14,0,0,0,0,0.97844,1.5183,7.5529,60.2,0.080201,0,0,1,0.029877,0.029877,0,0
1.806,5.9898e-06,0.00084542,1664.4,0,8.2116e-06,16798,28.149,0.010964,5.3773e-13,3.2403e-16,2.5904e-17,-7.8533e-17,1.9982e-14,4.1436e-14,0,0,0,0,0.97678,1.5807,7.9288,60.007,0.082878,0,0,1,0.030298,0.030298,0,0
1.8044,6.0014e-06,0.00087954,1663.3,0,8.2239e-06,16955,28.88,0.011249,5.9482e-13,3.2184e-16,2.8666e-17,-5.5638e-17,1.9686e-14,4.1105e-14,0,0,0,0,0.97511,1.643,8.3047,59.814,0.085556,0,0,1,0.030718,0.030718,0,0
1.8028,6.013e-06,0.00091365,1662.2,0,8.2362e-06,17113,29.612,0.011534,6.5192e-13,3.1966e-16,3.1428e-17,-3.2743e-17,1.939e-14,4.0774e-14,0,0,0,0,0.97345,1.7053,8.6805,59.621,0.088233,0,0,1,0.031139,0.031139,0,0
